metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.loadbalancing.https.request_bytes_count,Request bytes,DELTA,INT64,By,https_lb_rule,"The number of bytes sent as requests from clients to HTTP/S load balancer. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.https.request_count,Request count,DELTA,INT64,1,https_lb_rule,"The number of requests served by HTTP/S load balancer. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.https.response_bytes_count,Response bytes,DELTA,INT64,By,https_lb_rule,"The number of bytes sent as responses from HTTP/S load balancer to clients. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.https.total_latencies,Total latency,DELTA,DISTRIBUTION,ms,https_lb_rule,"A distribution of the latency calculated from when the request was received by the proxy until the proxy got ACK from client on last response byte. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.l3.external.egress_bytes_count,Egress bytes,DELTA,INT64,By,"tcp_lb_rule, udp_lb_rule","The number of bytes sent from NetLB backend to client of the flow. For TCP flows it's counting bytes on application stream only. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.loadbalancing.l3.external.egress_packets_count,Egress packets,DELTA,INT64,1,"tcp_lb_rule, udp_lb_rule","The number of packets sent from NetLB backend to client of the flow. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.loadbalancing.l3.external.ingress_bytes_count,Ingress bytes,DELTA,INT64,By,"tcp_lb_rule, udp_lb_rule","The number of bytes sent from client to NetLB backend. For TCP flows it's counting bytes on application stream only. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.loadbalancing.l3.external.ingress_packets_count,Ingress packets,DELTA,INT64,1,"tcp_lb_rule, udp_lb_rule","The number of packets sent from client to NetLB backend. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.loadbalancing.l3.external.rtt_latencies,RTT latencies,DELTA,DISTRIBUTION,ms,tcp_lb_rule,"A distribution of RTT measured over TCP connections for NetLB flows. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.loadbalancing.l3.internal.egress_bytes_count,Egress bytes,DELTA,INT64,By,"internal_tcp_lb_rule, internal_udp_lb_rule","The number of bytes sent from ILB backend to client (for TCP flows it's counting bytes on application stream only). Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.loadbalancing.l3.internal.egress_packets_count,Egress packets,DELTA,INT64,1,"internal_tcp_lb_rule, internal_udp_lb_rule","The number of packets sent from ILB backend to client of the flow. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.loadbalancing.l3.internal.ingress_bytes_count,Ingress bytes,DELTA,INT64,By,"internal_tcp_lb_rule, internal_udp_lb_rule","The number of bytes sent from client to ILB backend (for TCP flows it's counting bytes on application stream only). Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.loadbalancing.l3.internal.ingress_packets_count,Ingress packets,DELTA,INT64,1,"internal_tcp_lb_rule, internal_udp_lb_rule","The number of packets sent from client to ILB backend. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.loadbalancing.l3.internal.rtt_latencies,RTT latencies,DELTA,DISTRIBUTION,ms,internal_tcp_lb_rule,"A distribution of RTT measured over TCP connections for ILB flows. Sampled every 60 seconds. After sampling, data is not visible for up to 150 seconds."
gcp.loadbalancing.tcp_ssl_proxy.closed_connections,Closed connections,DELTA,INT64,1,tcp_ssl_proxy_rule,"Number of connections that were terminated over TCP/SSL proxy. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.tcp_ssl_proxy.egress_bytes_count,Egress bytes,DELTA,INT64,By,tcp_ssl_proxy_rule,"Number of bytes sent from VM to client using proxy. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.tcp_ssl_proxy.frontend_tcp_rtt,Frontend RTT,DELTA,DISTRIBUTION,ms,tcp_ssl_proxy_rule,"A distribution of the smoothed RTT (in ms) measured by the proxy's TCP stack, each minute application layer bytes pass from proxy to client. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.tcp_ssl_proxy.ingress_bytes_count,Ingress bytes,DELTA,INT64,By,tcp_ssl_proxy_rule,"Number of bytes sent from client to VM using proxy. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.tcp_ssl_proxy.new_connections,New connections opened,DELTA,INT64,1,tcp_ssl_proxy_rule,"Number of connections that were created over TCP/SSL proxy. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
gcp.loadbalancing.tcp_ssl_proxy.open_connections,Open Connections,GAUGE,INT64,1,tcp_ssl_proxy_rule,"Current number of outstanding connections through the TCP/SSL proxy. Sampled every 60 seconds. After sampling, data is not visible for up to 210 seconds."
